11930	2.123
12230	1.383
12520	1.476
12820	2.899
13130	2.592
13430	2.470
13730	2.386
14020	2.792
14320	2.123
14630	0.856
14930	1.542
15230	1.473
15520	2.081
15820	2.781
16130	2.310
16420	2.153
16730	2.324
17020	2.399
17330	2.216
17630	2.178
17920	2.358
18230	2.553
18520	2.770
18830	2.983
19130	3.135
19420	3.228
19730	3.315
20020	3.472
20330	3.688
20630	3.873
20920	4.008
21230	4.146
21520	4.245
21830	4.188
22130	4.118
22420	3.992
22720	3.877
23010	3.878
23320	3.878
23610	3.982
23920	4.172
24220	4.145
24510	4.023
24820	4.413
25110	4.645
25420	4.151
25720	3.874
26010	4.075
26320	4.205
26610	4.218
26920	4.191
27220	4.022
27510	3.788
27820	3.635
28110	3.595
28420	3.583
28720	3.566
29010	3.545
29320	3.477
29610	3.316
29920	3.089
30220	2.867
30510	2.710
30820	2.629
31110	2.598
31420	2.578
31720	2.539
32010	2.472
32310	2.391
32620	2.298
32920	2.197
33220	2.095
33510	2.000
33810	1.909
34120	1.819
34420	1.736
34720	1.654
35010	1.573
35310	1.492
35620	1.415
35920	1.340
36220	1.265
36510	1.193
36810	1.155
37100	1.082
37400	1.009
37710	0.956
38010	0.905
38310	0.855
38600	0.808
38900	0.760
39210	0.715
39510	0.673
39810	0.631
40100	0.592
40400	0.555
40710	0.520
41010	0.486
41310	0.455
41600	0.427
41900	0.399
42210	0.374
42510	0.351
42810	0.327
43100	0.308
43400	0.289
43710	0.270
44010	0.252
44310	0.237
44600	0.220
44900	0.205
45210	0.193
45510	0.181
45810	0.170
46100	0.159
46400	0.149
46710	0.139
47010	0.130
47310	0.121
47600	0.114
